chunksize,time_ms
10 , 42.9852
10 , 43.277
20 , 42.2643
30 , 43.0586
40 , 43.0467
50 , 42.8708
60 , 44.5038
70 , 43.0087
80 , 42.5959
90 , 42.8957
100 , 43.5168
110 , 43.6443
120 , 43.4367
130 , 43.2332
140 , 42.4773
150 , 44.3425
160 , 43.2331
170 , 44.3095
180 , 43.0238
190 , 44.726
200 , 45.3685
210 , 43.794
220 , 48.7173
230 , 49.5138
240 , 49.5925
250 , 47.3657
260 , 48.7636
270 , 49.256
280 , 48.9899
290 , 50.9668
300 , 49.9845
310 , 47.6696
320 , 47.7641
330 , 49.4781
340 , 50.0449
350 , 51.0889
360 , 51.5656
370 , 53.3259
380 , 52.4897
390 , 55.9453
400 , 52.3985
410 , 48.331
420 , 47.7711
430 , 48.8557
440 , 49.3958
450 , 50.6342
460 , 50.3403
470 , 51.4134
480 , 51.4955
490 , 51.7558
500 , 54.0844
510 , 52.9876
520 , 53.5845
530 , 53.7462
540 , 55.1951
550 , 56.7539
560 , 54.831
570 , 54.4725
580 , 55.4594
590 , 57.0408
600 , 50.8634
610 , 49.7419
620 , 48.147
630 , 48.0262
640 , 49.0647
650 , 49.5511
660 , 49.2752
670 , 49.8964
680 , 50.3868
690 , 53.4583
700 , 51.6725
710 , 51.5356
720 , 52.1581
730 , 52.8609
740 , 54.5442
750 , 53.9419
760 , 53.6288
770 , 54.6418
780 , 55.0635
790 , 55.4952
800 , 56.1474
810 , 55.6804
820 , 55.585
830 , 56.8519
840 , 56.7277
850 , 57.1415
860 , 57.3864
870 , 57.7227
880 , 59.5577
890 , 58.8404
900 , 58.7916
910 , 60.8447
920 , 60.4679
930 , 60.9019
940 , 61.4184
950 , 60.7867
960 , 63.7859
970 , 65.0304
980 , 62.8213
990 , 62.4951
1000 , 63.4827
