threads,curves,program_time,curve_time
1,64,338.101,213.749
1,64,187.137,183.507
1,64,186.757,183.237
1,64,178.958,175.788
1,64,162.792,159.622
1,64,163.167,159.713
1,64,163.451,160.298
1,64,162.434,159.023
1,64,160.857,157.451
1,64,161.104,157.65
1,128,166.638,163.108
1,128,166.757,163.227
1,128,165.72,162.361
1,128,160.373,156.989
1,128,162.516,158.9
1,128,161.937,158.407
1,128,162.206,158.687
1,128,158.57,155.353
1,128,162.174,158.658
1,128,158.46,155.26
1,256,231.501,228.001
1,256,229.496,226.026
1,256,226.943,223.372
1,256,226.114,222.564
1,256,223.301,219.837
1,256,223.856,220.438
1,256,224.822,221.383
1,256,227.549,223.875
1,256,224.966,221.797
1,256,226.975,223.476
1,512,315.242,311.723
1,512,315.407,311.86
1,512,315.643,312.199
1,512,313.603,310.093
1,512,313.589,310.09
1,512,311.344,308.164
1,512,314.541,311.019
1,512,319.304,315.726
1,512,320.917,317.281
1,512,318.296,314.646
1,1024,491.527,488.009
1,1024,488.641,485.224
1,1024,488.724,485.217
1,1024,490.71,487.146
1,1024,488.74,485.289
1,1024,489.288,485.779
1,1024,487.207,484.04
1,1024,489.821,486.449
1,1024,491.14,487.58
1,1024,490.217,486.69
2,64,160.951,157.385
2,64,157.966,154.778
2,64,160.747,157.184
2,64,160.901,157.395
2,64,158.331,154.802
2,64,160.836,157.322
2,64,158.324,154.835
2,64,160.47,156.91
2,64,157.221,154.026
2,64,161.538,157.976
2,128,165.126,161.535
2,128,164.127,160.94
2,128,161.669,158.156
2,128,164.864,161.32
2,128,162.86,159.335
2,128,165.215,161.67
2,128,164.609,160.999
2,128,168.341,164.67
2,128,162.579,159.019
2,128,165.509,161.946
2,256,177.69,174.043
2,256,175.855,172.253
2,256,172.792,169.136
2,256,172.547,169.002
2,256,168.254,165.091
2,256,172.026,168.45
2,256,167.923,164.685
2,256,171.553,167.998
2,256,172.795,169.622
2,256,171.531,167.984
2,512,245.818,242.629
2,512,246.339,242.469
2,512,246.682,243.248
2,512,247.071,243.496
2,512,247.598,244.017
2,512,245.452,241.872
2,512,245.457,242.256
2,512,246.582,242.97
2,512,243.872,240.414
2,512,246.338,242.788
2,1024,343.89,340.392
2,1024,346.348,342.801
2,1024,344.669,341.04
2,1024,347.572,344.024
2,1024,346.916,343.401
2,1024,347.025,343.481
2,1024,345.879,342.296
2,1024,344.434,340.88
2,1024,344.601,341.074
2,1024,345.325,341.756
4,64,165.627,162.015
4,64,167.185,163.354
4,64,163.222,159.664
4,64,168.439,164.854
4,64,162.676,159.117
4,64,166.489,162.817
4,64,170.497,166.887
4,64,169.332,165.568
4,64,166.388,162.734
4,64,167.048,163.378
4,128,165.764,162.146
4,128,171.128,167.426
4,128,166.327,163.027
4,128,166.702,163.396
4,128,171.077,167.348
4,128,166.864,163.077
4,128,170.055,166.243
4,128,166.788,163.453
4,128,166.576,162.869
4,128,168.984,164.347
4,256,175.196,171.52
4,256,171.736,168.428
4,256,171.83,168.51
4,256,175.591,171.924
4,256,175.592,171.922
4,256,175.375,171.696
4,256,171.588,168.258
4,256,171.534,167.953
4,256,171.489,168.19
4,256,174.75,171.163
4,512,183.814,180.196
4,512,184.707,181.062
4,512,183.895,180.6
4,512,189.163,185.46
4,512,183.785,180.224
4,512,183.827,180.556
4,512,185.546,181.894
4,512,187.421,183.784
4,512,188.25,184.555
4,512,185.212,181.883
4,1024,270.094,266.434
4,1024,267.784,264.077
4,1024,270.654,266.943
4,1024,269.89,266.145
4,1024,268.148,264.466
4,1024,267.011,263.722
4,1024,271.664,267.979
4,1024,268.347,264.659
4,1024,275.594,271.885
4,1024,281.287,277.493
8,64,178.179,174.498
8,64,177.092,173.471
8,64,181.088,176.908
8,64,176.522,173.215
8,64,173.972,170.303
8,64,179.636,173.429
8,64,203.32,198.007
8,64,174.297,170.576
8,64,215.554,212.246
8,64,301.49,298.219
8,128,177.385,173.694
8,128,178.798,175.435
8,128,177.83,174.12
8,128,177.385,173.383
8,128,176.213,172.883
8,128,176.733,173.377
8,128,176.259,172.943
8,128,179.086,175.334
8,128,176.443,172.603
8,128,178.069,174.715
8,256,182.595,178.851
8,256,188.497,184.769
8,256,185.722,182.008
8,256,182.873,179.154
8,256,185.118,181.397
8,256,185.368,181.583
8,256,182.094,178.773
8,256,182.12,178.769
8,256,187.435,183.718
8,256,182.995,179.368
8,512,195.013,191.679
8,512,194.536,190.794
8,512,193.361,189.552
8,512,191.3,187.582
8,512,192.128,188.382
8,512,192.571,188.812
8,512,194.491,190.736
8,512,191.968,188.431
8,512,191.178,187.811
8,512,192.536,188.816
8,1024,215.807,212.019
8,1024,216.468,213.153
8,1024,223.708,219.864
8,1024,219.11,215.223
8,1024,214.945,211.258
8,1024,213.752,209.99
8,1024,213.701,210.34
8,1024,215.159,211.466
8,1024,212.73,209.008
8,1024,214.842,211.21
16,64,197.793,194.457
16,64,200.398,196.678
16,64,198.382,194.65
16,64,201.743,197.986
16,64,197.836,194.234
16,64,198.836,195.075
16,64,196.793,193.437
16,64,200.422,196.683
16,64,203.839,199.603
16,64,197.223,193.868
16,128,201.484,197.744
16,128,201.212,197.864
16,128,201.396,197.741
16,128,202.195,198.463
16,128,202.958,199.188
16,128,200.778,197.028
16,128,200.189,196.363
16,128,203.891,200.157
16,128,203.489,199.754
16,128,203.676,199.957
16,256,207.304,203.962
16,256,206.984,203.156
16,256,206.82,203.19
16,256,206.766,203.007
16,256,208.134,204.356
16,256,205.657,202.244
16,256,210.114,206.275
16,256,209.156,204.784
16,256,214.734,210.832
16,256,211.31,207.741
16,512,217.716,212.764
16,512,213.609,209.869
16,512,219.874,215.963
16,512,222.205,218.129
16,512,218.65,214.733
16,512,218.176,214.438
16,512,259.08,255.468
16,512,212.76,209.233
16,512,215.686,211.881
16,512,216.236,212.405
16,1024,220.378,216.583
16,1024,222.232,218.439
16,1024,220.75,217.309
16,1024,220.573,216.797
16,1024,220.386,216.556
16,1024,221.266,217.427
16,1024,220.486,216.531
16,1024,221.435,217.578
16,1024,223.109,219.218
16,1024,222.185,218.716
32,64,248.359,244.61
32,64,250.406,246.497
32,64,247.662,244.122
32,64,249.227,245.75
32,64,246.807,243.317
32,64,247.015,243.189
32,64,253.171,249.41
32,64,250.543,246.758
32,64,248.548,244.761
32,64,251.274,247.429
32,128,252.81,249.106
32,128,251.884,248.414
32,128,253.51,249.695
32,128,253.316,249.512
32,128,255.246,251.401
32,128,253.425,249.974
32,128,255.502,251.6
32,128,253.609,249.711
32,128,254.258,250.323
32,128,261.401,257.405
32,256,264.822,260.854
32,256,262.639,258.795
32,256,259.832,255.991
32,256,260.079,256.235
32,256,259.205,255.374
32,256,262.015,258.129
32,256,259.419,255.536
32,256,259.367,255.596
32,256,261.384,257.452
32,256,258.211,254.238
32,512,261.198,257.349
32,512,260.567,257.098
32,512,260.642,257.192
32,512,261.76,257.866
32,512,265.027,261.173
32,512,264.395,260.84
32,512,263.874,260.371
32,512,262.016,258.12
32,512,261.806,257.945
32,512,265.553,261.616
32,1024,260.641,256.774
32,1024,260.844,256.945
32,1024,256.737,253.248
32,1024,260.933,257.006
32,1024,257.315,253.545
32,1024,258.335,254.81
32,1024,256.995,253.096
32,1024,258.163,254.281
32,1024,260.402,256.484
32,1024,258.381,254.399
64,64,249.8,245.88
64,64,249.795,245.889
64,64,254.8,250.87
64,64,255.072,251.026
64,64,251.922,247.964
64,64,253.246,249.304
64,64,248.528,244.618
64,64,248.983,245.232
64,64,251.842,247.943
64,64,249.505,245.604
64,128,255.546,251.547
64,128,254.616,250.658
64,128,257.548,253.616
64,128,252.847,249.328
64,128,256.252,252.287
64,128,258.444,254.485
64,128,257.616,253.782
64,128,254.843,250.923
64,128,256.148,252.245
64,128,253.355,249.545
64,256,264.842,260.928
64,256,263.608,259.555
64,256,261.168,257.407
64,256,261.37,257.865
64,256,261.702,257.884
64,256,263.692,259.797
64,256,262.005,258.322
64,256,259.939,256.005
64,256,262.79,258.88
64,256,261.386,257.468
64,512,264.792,261.056
64,512,265.071,261.194
64,512,266.821,262.763
64,512,265.927,262.393
64,512,264.405,260.606
64,512,268.485,264.669
64,512,271.981,267.929
64,512,267.672,263.767
64,512,268.328,264.429
64,512,264.966,261.01
64,1024,258.171,254.272
64,1024,258.925,254.833
64,1024,256.729,252.908
64,1024,257.033,253.157
64,1024,256.671,252.849
64,1024,257.405,253.512
64,1024,259.043,255.148
64,1024,256.937,252.989
64,1024,260.339,255.398
64,1024,256.197,252.68
128,64,249.645,245.751
128,64,248.162,244.618
128,64,251.514,247.574
128,64,251.122,247.252
128,64,250.854,247.098
128,64,251.929,248.037
128,64,248.109,244.606
128,64,252.281,248.359
128,64,248.78,245.115
128,64,247.87,244.074
128,128,252.925,249.022
128,128,254.865,250.923
128,128,253.263,249.467
128,128,258.149,254.159
128,128,253.305,249.768
128,128,254.015,250.466
128,128,254.098,250.238
128,128,256.12,252.193
128,128,256.378,252.45
128,128,260.307,256.28
128,256,266.103,262.107
128,256,260.144,256.575
128,256,262.967,257.618
128,256,260.451,256.598
128,256,263.584,259.547
128,256,260.049,256.152
128,256,263.267,259.358
128,256,259.403,255.543
128,256,259.736,256.234
128,256,261.707,257.743
128,512,268.994,265.054
128,512,267.164,263.448
128,512,265.969,262.066
128,512,264.812,261
128,512,266.405,262.399
128,512,267.39,263.492
128,512,268.468,264.577
128,512,268.17,264.257
128,512,268.358,264.619
128,512,268.337,264.406
128,1024,259.698,255.939
128,1024,260.799,257.093
128,1024,262.652,258.873
128,1024,263.903,259.99
128,1024,259.703,255.651
128,1024,262.597,258.712
128,1024,260.73,256.771
128,1024,259.768,256.019
128,1024,260.489,256.498
128,1024,261.003,257.269
256,64,251.898,247.993
256,64,251.544,247.62
256,64,254.763,250.958
256,64,256.046,252.167
256,64,249.59,246.072
256,64,251.359,247.378
256,64,248.378,244.913
256,64,252.007,248.08
256,64,251.958,248.084
256,64,251.727,247.852
256,128,257.62,253.689
256,128,252.929,249.125
256,128,254.195,250.668
256,128,256.77,252.551
256,128,253.516,250.048
256,128,256.542,252.715
256,128,254.828,250.826
256,128,252.731,248.971
256,128,253.146,249.614
256,128,254.436,249.423
256,256,305.599,301.638
256,256,304.139,300.223
256,256,305.96,302.204
256,256,303.618,299.728
256,256,306.008,302.11
256,256,304.32,300.69
256,256,302.508,298.743
256,256,306.272,302.35
256,256,305.735,301.814
256,256,305.094,301.299
256,512,312.999,309.434
256,512,312.083,308.172
256,512,312.435,308.343
256,512,315.202,311.314
256,512,320.241,316.026
256,512,317.375,313.219
256,512,310.988,307.229
256,512,311.506,307.613
256,512,312.414,308.499
256,512,311.71,307.883
256,1024,283.369,279.483
256,1024,283.101,279.201
256,1024,283.286,279.743
256,1024,283.397,279.437
256,1024,281.807,278.097
256,1024,282.774,278.903
256,1024,282.955,279.047
256,1024,284.077,280.252
256,1024,286.992,283.041
256,1024,283.623,280.115
512,64,248.847,245.307
512,64,251.904,247.987
512,64,250.648,246.808
512,64,252.931,249.005
512,64,248.878,244.897
512,64,253.64,249.563
512,64,249.567,245.625
512,64,252.043,248.118
512,64,248.221,244.66
512,64,248.461,244.956
512,128,254.664,250.755
512,128,256.282,252.349
512,128,254.277,250.378
512,128,252.888,249.052
512,128,254.289,250.481
512,128,253.503,249.685
512,128,260.257,256.173
512,128,258.704,254.968
512,128,253.025,249.183
512,128,252.93,249.006
512,256,305.699,301.917
512,256,306.403,302.508
512,256,305.233,301.297
512,256,304.058,300.268
512,256,304.433,300.526
512,256,303.973,300.146
512,256,304.596,301.095
512,256,305.657,301.74
512,256,303.961,300.052
512,256,305.975,302.189
512,512,463.726,459.623
512,512,466.531,462.624
512,512,466.862,462.858
512,512,462.942,459.05
512,512,463.469,459.722
512,512,463.366,459.463
512,512,464.133,460.27
512,512,465.454,461.719
512,512,466.771,462.828
512,512,467.276,463.277
512,1024,366.539,362.809
512,1024,372.637,368.599
512,1024,367.381,363.493
512,1024,366.315,362.393
512,1024,362.798,358.812
512,1024,367.022,363.552
512,1024,360.968,357.444
512,1024,362.374,358.552
512,1024,362.075,358.53
512,1024,361.857,357.933
1024,64,250.725,247.164
1024,64,253.054,248.92
1024,64,248.712,244.749
1024,64,248.247,244.363
1024,64,249.365,245.645
1024,64,247.797,243.975
1024,64,251.368,247.573
1024,64,251.331,247.313
1024,64,250.976,246.945
1024,64,249.657,245.726
1024,128,253.032,249.239
1024,128,255.116,251.251
1024,128,253.864,249.968
1024,128,256.067,252.181
1024,128,256.125,252.233
1024,128,252.633,248.82
1024,128,256.198,252.257
1024,128,253.683,249.808
1024,128,255.953,251.964
1024,128,252.696,248.752
1024,256,302.698,299.15
1024,256,313.091,309.222
1024,256,309.008,304.759
1024,256,306.828,302.932
1024,256,305.66,301.726
1024,256,307.634,303.694
1024,256,302.755,298.969
1024,256,302.354,298.853
1024,256,308.146,304.074
1024,256,302.253,298.702
1024,512,464.519,460.635
1024,512,463.133,459.336
1024,512,463.869,459.893
1024,512,463.098,459.273
1024,512,464.563,460.662
1024,512,464.796,460.79
1024,512,466.683,462.758
1024,512,462.878,458.991
1024,512,466.15,462.233
1024,512,463.12,459.206
1024,1024,601.578,597.665
1024,1024,600.403,596.366
1024,1024,605.996,602.112
1024,1024,606.174,602.052
1024,1024,602.911,598.901
1024,1024,600.362,596.455
1024,1024,605.302,601.262
1024,1024,601.826,597.933
1024,1024,599.502,595.988
1024,1024,600.53,596.81
